region,country,gdp_per_capita,gdp_growth,exports_gdp_pct,imports_gdp_pct,agriculture_land_pct,unemployment_rate,industry_value_added_pct,household_consumption_pct,population_total,urban_population_pct,life_expectancy,infant_mortality,population_65plus_pct,health_expenditure_pc,health_expenditure_gdp,hospital_beds_per_1k,maternal_mortality,access_to_safe_water,primary_enrollment,secondary_enrollment,tertiary_enrollment,adult_literacy_rate,control_of_corruption,government_effectiveness,political_stability,regulatory_quality,rule_of_law,voice_and_accountability,electricity_access_pct,internet_users_pct,air_passengers,co2_emissions_pc
Sub-Saharan Africa,Benin,1122.8551033035128,5.615735448528807,24.39261051454452,29.29259497471747,38.81004398722951,1.6458181818181818,16.27478604960004,68.11632265186321,12732295.818181818,47.88372727272727,59.7553,52.39,3.0509392064217455,30.91323895,2.694647047777778,0.44625,579.1,66.44541866471117,112.7292327880859,49.14058113098143,11.430676566229936,45.77000045776367,-0.3409864783287048,-0.4530727460980416,-0.2072270793840289,-0.4764630436897277,-0.6177187114953994,0.07916265688836568,41.07,20.2502,57851.666666666664,0.5589927673647531
South Asia,Bhutan,3204.187801919037,3.6661127553689425,29.303344917240413,51.012490474147754,13.62539611478713,3.512090909090909,34.6752247332478,51.15973826633917,764073.8181818182,41.55072727272727,71.7979,21.64,5.98156232302023,110.57280985555556,3.468977,1.87,56.6,98.42394988188865,103.8459591748811,87.7377784915032,14.988507073603962,65.7350006103516,1.424499261379242,0.44577243626117713,1.0183713793754583,-0.5038306206464762,0.5745485574007034,0.06908062258735294,98.38,64.57834,195864.25,2.182933847126949
Latin America & Caribbean,Brazil,8917.576533618874,0.831786436288487,15.34849559140503,15.217943936150396,28.28363966145578,10.508818181818182,20.163717470544533,63.60936723276392,206809253.72727272,86.79590909090909,75.0099,13.23,9.283263650186038,848.6481051988889,9.269750594444444,2.35,76.2,98.65422339927301,107.44510904947911,103.87899356418188,52.1734224955241,93.64675717868731,-0.4717014044523238,-0.3846127405762672,-0.410733576118946,-0.16951315179467202,-0.23737111687660212,0.3660631507635115,99.74,72.43127272727273,88163859.375,2.3733429719963266
Sub-Saharan Africa,Burkina Faso,699.1516489245558,4.663557848796677,28.76481881420398,32.356426118929356,51.262021016081874,4.863909090909091,27.089450156484062,64.85945322879442,20926725.363636363,30.00809090909091,59.8308,51.08,2.589823467900673,44.587339613333334,5.807859208888889,0.2,308.9,49.804029043086565,84.93526572559794,35.1027551053428,7.366417952298187,37.15700495266395,-0.19116025716066354,-0.7136910021305085,-1.2586833536624915,-0.4438805401325226,-0.5165822446346282,-0.24589484818279733,17.97,10.025401,136070.4171095041,0.23516103964241464
Sub-Saharan Africa,Cabo Verde,3767.413985732288,3.259497231517573,38.40948775942785,55.47507082301802,19.602977667493796,12.450636363636363,12.972522679934215,69.84433839353812,515996.63636363635,66.16136363636363,74.7441,14.2,5.845440275537343,210.04334852444444,5.357307701111111,1.926,45.9,87.64802624030507,104.71732194181678,96.65095274695233,23.66759640578642,87.6300010681152,0.895483905076981,0.13177967197261747,0.8132459729909897,0.019760270603001073,0.4264455378055572,0.9506439983844757,91.43,59.78263,447770.71675,1.759439161874412
East Asia & Pacific,Cambodia,1857.376841504513,5.780748792097918,61.727915322632214,67.03677326332748,33.43221697258101,0.31681818181818183,36.8693926739721,67.339072696048,16515109.818181818,23.851,69.8668,24.25,5.2645800262215365,93.42386203333334,4.837065115555555,0.83,160.1,74.29747633870572,104.53921007078249,53.21088824062814,14.800671958894112,80.15583358018344,-1.261035621166229,-0.5684761047363283,0.0027538998052478456,-0.5892820894718169,-0.9765116989612589,-1.233777642250062,79.76,41.113954444444445,1003511.8214329837,0.8147830943926687
Sub-Saharan Africa,Cameroon,1444.8730839823413,3.7408162143128774,18.44584673703663,22.012014861135366,20.750058175202554,3.636181818181818,24.87043118276133,72.69342741973253,25543096.818181816,56.95454545454545,61.1774,47.76,2.7999817822038064,63.39725918222222,4.0653913,2.65,350.4,67.49425998169022,112.3975743389535,52.83303235923818,15.562192269863855,72.5500030517578,-1.160828065872191,-0.8678227424621581,-1.285334330797196,-0.8727672934532165,-1.0612265527248386,-1.0899825811386097,63.42,31.15078,211306.75,0.3998842055413854
Sub-Saharan Africa,Chad,920.8842210297448,2.8453928187165047,25.900570210869997,19.088169838773904,39.95999841168996,1.1638181818181819,29.643993949140455,63.32624032183115,16867447.454545453,23.38009090909091,52.7194,66.52,2.0593247738053875,34.98606024777778,3.7382227033333333,0.47,983.9,49.7640302392168,86.05924816045993,22.138487730607988,3.67079090573048,26.4699993133545,-1.439320969581604,-1.511475598812103,-1.3633871555328363,-1.164432144165038,-1.313494706153869,-1.4021572232246409,10.06,8.034111,28332,0.1254364637768276
Latin America & Caribbean,Chile,13724.119119594816,2.015531080817629,30.756129720808698,30.671418681107475,15.880502629811824,8.034090909090908,28.775975447647117,61.22573323125359,18966585.818181816,87.66963636363636,80.0078,6.3100000000000005,12.423969854957136,1367.1930786120001,9.182278013,2.08,12.5,99.83148578339086,100.89363479614252,103.44134063720713,92.151904296875,96.63500213623045,1.058387362957,0.7926999807357792,0.2551440609619021,1.1741816103458405,0.9508379876613612,1.0008372426033016,99.94,83.92305,15302454.875,4.639875394756529
Latin America & Caribbean,Colombia,6427.043981857133,2.732054295516152,16.166117736545683,22.115817044642306,39.27106605678233,10.422636363636364,26.259217729655347,70.24687015055837,49709094.36363637,81.076,75.9723,12.61,8.219159732162852,509.417648314,7.83210392,1.697142857142857,78.5,96.70132101565942,111.08699035644533,100.12180836995434,56.76015260484482,95.06779097699904,-0.3478336989879609,-0.061546995304524926,-0.8643303751945492,0.2660698413848877,-0.3755419209599496,0.11832938734441985,98.92,65.09598,29191202.2155,1.7323404814698244
Latin America & Caribbean,Cuba,7668.402591569108,0.004369279248308544,22.257213908215462,24.94143682319972,60.98771960595934,1.9663636363636363,23.890553509576346,57.17307892783479,11169300.090909092,77.17063636363636,77.1602,5.47,15.255193243210154,1006.0241437614286,12.089882322222222,4.13125,52.9,94.06763887282126,100.87917608825057,98.29963424644656,43.23661328591629,97.6500015258789,0.03069393625482916,-0.20638971424195912,0.5606894671916961,-1.413322043418885,-0.470568209886551,-1.453895998001098,99.56,57.54397,731048.5,2.2091322549237193
Latin America & Caribbean,Dominican Republic,7831.028147739806,5.019037738557429,22.870792385392683,28.623215175616675,52.64287432712715,6.365181818181818,28.16473567818964,69.56230895693167,10887823.454545455,81.62809090909091,73.1377,30.46,6.628110480120949,356.23382229333333,4.598393281111111,1.4028571428571428,115.4,95.97360286280131,105.8060263376337,78.75294194276425,55.7485281301104,93.39601113781775,-0.7214499950408935,-0.24902524075005192,0.1716695728711784,0.029397996142506617,-0.29304104149341575,0.2159315153956413,98.97,73.9787909090909,42847.333333333336,2.4487741380235635
Latin America & Caribbean,Ecuador,5951.962366286424,1.5336458519974436,25.804201764380426,25.36226196657706,22.038975680463842,4.144909090909091,28.133774458560296,63.50378922812537,17193050.181818184,64.05345454545454,75.793,11.97,7.367263983432394,473.15462578555554,7.7428194688888885,1.40875,68.7,94.4354333572695,99.41070306988333,96.19584518900803,53.96710726505158,94.31857190813338,-0.623547089099884,-0.3717013314366342,-0.19064545128494498,-0.849617633223534,-0.6975163638591767,-0.07510360428132122,99.11,61.863054545454546,4306040.818,2.407056377515345
Middle East & North Africa,"Egypt, Arab Rep.",3684.8685387380733,4.207918486650294,14.638136371874221,22.716167062287624,3.915696549299312,9.579181818181818,34.19028291185254,82.20292211912944,107242391.45454545,42.860454545454544,70.4788,18.88,4.581437330579884,147.88015747111112,4.785900751111111,1.26,24.7,98.73845836874882,93.16764996630285,79.03231355092285,34.777511401533744,77.5699694477584,-0.6376469671726227,-0.4770792692899703,-1.2372895896434792,-0.7222852408885956,-0.3887226119637489,-1.341175031661988,99.91,55.09777,10096939.747445274,2.3104874783769533
Latin America & Caribbean,El Salvador,4091.88175706238,2.4430408726650796,29.574300987286673,48.32062463499427,58.063223938223935,3.936,24.44698487074814,82.29405945902273,6238334.545454546,72.62154545454545,71.1373,10.95,7.5804476089937065,375.96438937777776,8.949384158888888,1.1125,43.8,96.93581467898134,95.31930157958229,66.49112627621655,29.494672253862372,88.92391260986284,-0.5373046815395354,-0.29374047517776497,-0.147948978911154,-0.12042432092130176,-0.7268784761428834,-0.0041980644688009655,97.36,45.8213,2257522.7498749997,1.1831391593795233
